# i,scycle,rvalve,cvalve,ivalve,draws
433,27,1412,-1500,1500,9
434,27,1412,-1500,1500,0
435,27,1412,-1500,1500,0
436,27,1412,-1500,1500,0
437,27,1412,-1500,1500,0
438,27,1412,-1500,1500,0
439,27,1412,-1500,1500,0
440,27,1412,-1500,1500,0
441,27,1412,-1500,1500,0
442,27,1412,-1500,1500,0
443,27,1412,-1500,1500,0
444,27,1412,-1500,1500,0
445,27,1412,-1500,1500,0
446,27,1412,-1500,1500,0
447,28,824,-1500,1500,0
448,28,824,-1500,1500,0
449,28,824,-1500,1500,6
450,28,824,-1500,1500,0
451,28,824,-1500,1500,0
452,28,824,-1500,1500,0
453,28,824,-1500,1500,0
454,28,824,-1500,1500,0
455,28,824,-1500,1500,0
456,28,824,-1500,1500,0
457,28,824,-1500,1500,0
458,28,824,-1500,1500,0
459,28,824,-1500,1500,0
460,28,824,-1500,1500,0
461,28,824,-1500,1500,0
462,28,824,-1500,1500,0
463,29,824,-1500,1500,0
464,29,824,-1500,1500,0
465,29,824,-1500,1500,32
466,29,824,-1500,1500,0
467,29,824,-1500,1500,0
468,29,824,-1500,1500,0
469,29,824,-1500,1500,0
470,29,824,-1500,1500,0
471,29,824,-1500,1500,0
472,29,824,-1500,1500,0
473,29,824,-1500,1500,0
474,29,824,-1500,1500,0
475,29,824,-1500,1500,0
476,29,824,-1500,1500,0
477,29,824,-1500,1500,0
478,29,824,-1500,1500,0
479,30,236,-1500,1500,0
480,30,236,-1500,1500,0
481,30,236,-1500,1500,15
482,30,236,-1500,1500,0
483,30,236,-1500,1500,0
484,30,236,-1500,1500,0
485,30,236,-1500,1500,0
486,30,236,-1500,1500,0
487,30,236,-1500,1500,0
488,30,236,-1500,1500,0
489,30,236,-1500,1500,0
490,30,236,-1500,1500,0
491,30,236,-1500,1500,0
492,30,236,-1500,1500,0
493,30,236,-1500,1500,0
494,30,236,-1500,1500,0
495,31,236,-1500,1500,0
496,31,236,-1500,1500,0
497,31,236,-1500,1500,6
498,31,236,-1500,1500,0
499,31,236,-1500,1500,0
500,31,236,-1500,1500,0
501,31,236,-1500,1500,0
502,31,236,-1500,1500,0
503,31,236,-1500,1500,0
504,31,236,-1500,1500,0
505,31,236,-1500,1500,0
506,31,236,-1500,1500,0
507,31,236,-1500,1500,0
508,31,236,-1500,1500,0
509,31,236,-1500,1500,0
510,31,236,-1500,1500,0
511,32,-352,-1500,1500,0
512,32,-352,-1500,1500,0
513,32,-352,-1500,1500,6
514,32,-352,-1500,1500,0
515,32,-352,-1500,1500,0
516,32,-352,-1500,1500,0
517,32,-352,-1500,1500,0
518,32,-352,-1500,1500,0
519,32,-352,-1500,1500,0
520,32,-352,-1500,1500,0
521,32,-352,-1500,1500,0
522,32,-352,-1500,1500,0
523,32,-352,-1500,1500,0
524,32,-352,-1500,1500,0
525,32,-352,-1500,1500,0
526,32,-352,-1500,1500,0
527,33,-352,-1500,1500,0
528,33,-352,-1500,1500,0
529,33,-352,-1500,1500,6
530,33,-352,-1500,1500,0
531,33,-352,-1500,1500,0
532,33,-352,-1500,1500,0
533,33,-352,-1500,1500,0
534,33,-352,-1500,1500,0
535,33,-352,-1500,1500,0
536,33,-352,-1500,1500,0
537,33,-352,-1500,1500,0
538,33,-352,-1500,1500,0
539,33,-352,-1500,1500,0
540,33,-352,-1500,1500,0
541,33,-352,-1500,1500,0
542,33,-352,-1500,1500,0
543,34,-940,-1500,1500,0
544,34,-940,-1500,1500,0
545,34,-940,-1500,1500,32
546,34,-940,-1500,1500,0
547,34,-940,-1500,1500,0
548,34,-940,-1500,1500,0
549,34,-940,-1500,1500,0
550,34,-940,-1500,1500,0
551,34,-940,-1500,1500,0
552,34,-940,-1500,1500,0
553,34,-940,-1500,1500,0
554,34,-940,-1500,1500,0
555,34,-940,-1500,1500,3
556,34,-940,-1500,1500,0
557,34,-940,-1500,1500,0
558,34,-940,-1500,1500,0
559,35,-940,-1500,1500,0
560,35,-940,-1500,1500,0
561,35,-940,-1500,1500,6
562,35,-940,-1500,1500,0
563,35,-940,-1500,1500,0
564,35,-940,-1500,1500,0
565,35,-940,-1500,1500,0
566,35,-940,-1500,1500,0
567,35,-940,-1500,1500,0
568,35,-940,-1500,1500,0
569,35,-940,-1500,1500,0
570,35,-940,-1500,1500,0
571,35,-940,-1500,1500,0
572,35,-940,-1500,1500,0
573,35,-940,-1500,1500,0
574,35,-940,-1500,1500,0
575,36,-1528,-1500,1500,0
576,36,-1528,-1500,1500,0
577,36,-1528,-1500,1500,8
578,36,-1528,-1500,1500,0
579,36,-1528,-1500,1500,0
580,36,-1528,-1500,1500,0
581,36,-1528,-1500,1500,0
582,36,-1528,-1500,1500,0
583,36,-1528,-1500,1500,0
584,36,-1528,-1500,1500,0
585,36,-1528,-1500,1500,0
586,36,-1528,-1500,1500,0
587,36,-1528,-1500,1500,0
588,36,-1528,-1500,1500,0
589,36,-1528,-1500,1500,0
590,36,-1528,-1500,1500,0
591,37,-1528,-1500,1500,0
592,37,-1528,-1500,1500,0
593,37,-1528,-1500,1500,8
594,37,-1528,-1500,1500,0
595,37,-1528,-1500,1500,0
596,37,-1528,-1500,1500,0
597,37,-1528,-1500,1500,0
598,37,-1528,-1500,1500,0
599,37,-1528,-1500,1500,0
600,37,-1528,-1500,1500,0
601,37,-1528,-1500,1500,0
602,37,-1528,-1500,1500,0
603,37,-1528,-1500,1500,0
604,37,-1528,-1500,1500,0
605,37,-1528,-1500,1500,0
606,37,-1528,-1500,1500,0
607,38,-2000,-1500,1500,0
608,38,-2000,-1500,1500,0
609,38,-2000,-1500,1500,6
610,38,-2000,-1500,1500,0
611,38,-2000,-1500,1500,0
612,38,-2000,-1500,1500,0
613,38,-2000,-1500,1500,0
614,38,-2000,-1500,1500,0
615,38,-2000,-1500,1500,0
616,38,-2000,-1500,1500,0
617,38,-2000,-1500,1500,0
618,38,-2000,-1500,1500,0
619,38,-2000,-1500,1500,0
620,38,-2000,-1500,1500,0
621,38,-2000,-1500,1500,0
622,38,-2000,-1500,1500,0
623,39,-2000,-1500,1500,0
624,39,-2000,-1500,1500,0
625,39,-2000,-1500,1500,6
626,39,-2000,-1500,1500,0
627,39,-2000,-1500,1500,0
628,39,-2000,-1500,1500,0
629,39,-2000,-1500,1500,0
630,39,-2000,-1500,1500,0
631,39,-2000,-1500,1500,0
632,39,-2000,-1500,1500,0
633,39,-2000,-1500,1500,0
634,39,-2000,-1500,1500,0
635,39,-2000,-1500,1500,0
636,39,-2000,-1500,1500,0
637,39,-2000,-1500,1500,0
638,39,-2000,-1500,1500,0
639,40,-2000,-1500,1500,0
640,40,-2000,-1500,1500,0
641,40,-2000,-1500,1500,32
642,40,-2000,-1500,1500,0
643,40,-2000,-1500,1500,0
644,40,-2000,-1500,1500,0
645,40,-2000,-1500,1500,0
646,40,-2000,-1500,1500,0
647,40,-2000,-1500,1500,0
648,40,-2000,-1500,1500,0
649,40,-2000,-1500,1500,0
650,40,-2000,-1500,1500,0
651,40,-2000,-1500,1500,0
652,40,-2000,-1500,1500,0
653,40,-2000,-1500,1500,0
654,40,-2000,-1500,1500,0
655,41,-2000,-1500,1500,0
656,41,-2000,-1500,1500,0
657,41,-2000,-1500,1500,6
658,41,-2000,-1500,1500,0
659,41,-2000,-1500,1500,0
660,41,-2000,-1500,1500,0
661,41,-2000,-1500,1500,0
662,41,-2000,-1500,1500,0
663,41,-2000,-1500,1500,0
664,41,-2000,-1500,1500,0
665,41,-2000,-1500,1500,0
666,41,-2000,-1500,1500,0
667,41,-2000,-1500,1500,0
668,41,-2000,-1500,1500,0
669,41,-2000,-1500,1500,0
670,41,-2000,-1500,1500,0
671,42,-2000,-1500,1500,0
672,42,-2000,-1500,1500,0
673,42,-2000,-1500,1500,6
674,42,-2000,-1500,1500,0
675,42,-2000,-1500,1500,0
676,42,-2000,-1500,1500,0
677,42,-2000,-1500,1500,0
678,42,-2000,-1500,1500,0
679,42,-2000,-1500,1500,0
680,42,-2000,-1500,1500,0
681,42,-2000,-1500,1500,0
682,42,-2000,-1500,1500,0
683,42,-2000,-1500,1500,0
684,42,-2000,-1500,1500,0
